strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal,auc_zexp,max_signal_zexp,min_signal_zexp,time_to_peak_zexp,initial_slope_zexp,final_signal_zexp,auc_zstrain_exp,max_signal_zstrain_exp,min_signal_zstrain_exp,time_to_peak_zstrain_exp,initial_slope_zstrain_exp,final_signal_zstrain_exp
BL011,Metaldehyde,0.5,1.0,2.0,4027.5,20.0,0.0,185.0,-0.4,1.0,-0.3701563934602059,-0.5845988517540189,-0.47556370500913936,-0.0017697532439319257,-0.6348087311609121,-0.23422811813697092,-0.5280217992416921,-0.5513160259234295,-0.4665654626218747,0.21772365572913543,-0.46794976114605186,-0.4648305382834705
BL011,Metaldehyde,0.5,1.0,3.0,5632.5,20.0,0.0,220.0,0.2,1.0,-0.3701304384489812,-0.5845988517540189,-0.47556370500913936,0.12027147383424093,-0.6334347718670598,-0.23422811813697092,-0.5276993049121582,-0.5513160259234295,-0.4665654626218747,0.3603819012926875,-0.4610200238357854,-0.4648305382834705
BL011,Metaldehyde,0.5,1.0,4.0,9830.0,26.0,0.0,195.0,-0.6,3.0,-0.3700625592218064,-0.5845107479428366,-0.47556370500913936,0.033099168778403174,-0.6352667175921963,-0.23418718665710375,-0.5268558968447322,-0.5508675239838092,-0.4665654626218747,0.2584831544615789,-0.4702596735828074,-0.46132975913300034
BL011,Metaldehyde,0.05,1.0,1.0,3372.5,15.0,0.0,190.0,0.0,1.0,-0.370166985692201,-0.5846722715966709,-0.47556370500913936,0.015664707767235626,-0.6338927582983439,-0.23422811813697092,-0.5281534090771094,-0.5516897775397799,-0.4665654626218747,0.23810340509535716,-0.4633299362725409,-0.4648305382834705
BL011,Metaldehyde,0.05,1.0,2.0,3780.0,19.0,0.0,220.0,0.6,0.0,-0.3701603958684788,-0.5846135357225494,-0.47556370500913936,0.12027147383424093,-0.6325187990044914,-0.2342485838769045,-0.5280715296756857,-0.5513907762466996,-0.4665654626218747,0.3603819012926875,-0.4564001989622744,-0.4665809278587056
BL011,Metaldehyde,0.05,1.0,3.0,5620.0,19.0,0.0,195.0,-0.8,2.0,-0.3701306405908132,-0.5846135357225494,-0.47556370500913936,0.033099168778403174,-0.6357247040234804,-0.23420765239703734,-0.5277018165502387,-0.5513907762466996,-0.4665654626218747,0.2584831544615789,-0.4725695860195629,-0.46308014870823544
BL011,Metaldehyde,0.05,1.0,4.0,10872.5,31.0,1.0,225.0,1.0,2.0,-0.37004570059302033,-0.5844373281001847,-0.4754224374854081,0.13770593484540847,-0.6316028261419232,-0.23420765239703734,-0.5266464262288201,-0.5504937723674589,-0.4647207227367141,0.38076165065890927,-0.45178037408876337,-0.46308014870823544
BL011,Metaldehyde,500.0,2.0,1.0,7057.5,20.0,0.0,155.0,-1.0,3.0,-0.4239197788670675,-0.7579568383347491,-0.38486958220845086,-0.3464301236292156,-0.6513807936454269,-0.25359166615610923,-0.5561770469406438,-0.560739265240647,-0.5032138564901447,-0.315688613532851,-0.4418976728677454,-0.36819765200998916
BL011,Metaldehyde,500.0,2.0,2.0,5982.5,35.0,0.0,150.0,0.0,2.0,-0.4239437547452402,-0.757656288677127,-0.38486958220845086,-0.35798947052483154,-0.6494891063362355,-0.25361960302668696,-0.5563753742930762,-0.559629844876831,-0.5032138564901447,-0.3304922999822227,-0.43009590113621116,-0.36895317462829597
BL011,Metaldehyde,500.0,2.0,3.0,6225.0,33.0,0.0,150.0,-0.2,3.0,-0.42393834623318727,-0.7576963619648099,-0.38486958220845086,-0.35798947052483154,-0.6498674437980737,-0.25359166615610923,-0.5563306353321786,-0.5597777675920065,-0.5032138564901447,-0.3304922999822227,-0.43245625548251804,-0.36819765200998916
