chemical,precision,recall,f1,support
Boric Acid,0.9615384615384616,1.0,0.9803921568627451,100
Metaldehyde,0.9230769230769231,0.84,0.8795811518324608,100
Propoxur,0.6086956521739131,0.7,0.6511627906976745,100
Trimethoprim,0.6666666666666666,0.6,0.631578947368421,100
DEET,0.504424778761062,0.57,0.5352112676056338,100
Diazinon,0.3218390804597701,0.28,0.2994652406417112,100
