strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal
BL011,Metaldehyde,500.0,4.0,4.0,4715.0,34.0,0.0,90.0,0.2,2.0
BL011,Metaldehyde,50.0,4.0,1.0,1715.0,5.0,0.0,450.0,0.0,1.0
BL011,Metaldehyde,50.0,4.0,2.0,1872.5,5.0,0.0,35.0,0.0,2.0
BL011,Metaldehyde,50.0,4.0,3.0,2025.0,7.0,0.0,660.0,-0.6,0.0
BL011,Metaldehyde,50.0,4.0,4.0,5660.0,25.0,0.0,1335.0,-0.4,1.0
BL011,Metaldehyde,5.0,4.0,1.0,1917.5,4.0,0.0,875.0,0.0,3.0
BL011,Metaldehyde,5.0,4.0,2.0,1822.5,4.0,0.0,620.0,-0.2,2.0
BL011,Metaldehyde,5.0,4.0,3.0,2167.5,4.0,0.0,100.0,0.2,1.0
BL011,Metaldehyde,5.0,4.0,4.0,7667.5,19.0,0.0,125.0,-0.4,2.0
BL011,Metaldehyde,0.5,4.0,1.0,1895.0,5.0,0.0,880.0,0.2,1.0
BL011,Metaldehyde,0.5,4.0,2.0,1952.5,3.0,0.0,75.0,0.2,2.0
BL011,Metaldehyde,0.5,4.0,3.0,2350.0,6.0,0.0,195.0,-0.4,1.0
BL011,Metaldehyde,0.5,4.0,4.0,9600.0,31.0,1.0,545.0,1.0,4.0
BL011,Metaldehyde,0.05,4.0,1.0,1937.5,10.0,0.0,870.0,-0.2,1.0
BL011,Metaldehyde,0.05,4.0,2.0,1827.5,7.0,0.0,780.0,-0.4,2.0
BL011,Metaldehyde,0.05,4.0,3.0,2587.5,6.0,0.0,1255.0,0.0,1.0
BL011,Metaldehyde,0.05,4.0,4.0,9022.5,24.0,1.0,175.0,1.0,2.0
BL011,Metaldehyde,500.0,5.0,1.0,9130.0,55.0,0.0,255.0,0.0,2.0
BL011,Metaldehyde,500.0,5.0,2.0,11747.5,75.0,0.0,255.0,0.0,1.0
BL011,Metaldehyde,500.0,5.0,3.0,12337.5,73.0,0.0,255.0,-0.2,1.0
BL011,Metaldehyde,500.0,5.0,4.0,16750.0,83.0,1.0,250.0,0.2,2.0
BL011,Metaldehyde,50.0,5.0,1.0,9192.5,50.0,0.0,255.0,0.0,2.0
BL011,Metaldehyde,50.0,5.0,2.0,11512.5,67.0,0.0,245.0,0.2,2.0
BL011,Metaldehyde,50.0,5.0,3.0,12437.5,75.0,0.0,260.0,0.2,2.0
BL011,Metaldehyde,50.0,5.0,4.0,17420.0,88.0,1.0,250.0,0.6,2.0
BL011,Metaldehyde,5.0,5.0,1.0,9697.5,56.0,0.0,255.0,-0.2,2.0
BL011,Metaldehyde,5.0,5.0,2.0,11350.0,66.0,0.0,240.0,0.0,2.0
BL011,Metaldehyde,5.0,5.0,3.0,12645.0,70.0,0.0,255.0,0.0,1.0
BL011,Metaldehyde,5.0,5.0,4.0,22110.0,116.0,1.0,245.0,0.6,2.0
BL011,Metaldehyde,0.5,5.0,1.0,9082.5,48.0,0.0,230.0,0.2,1.0
BL011,Metaldehyde,0.5,5.0,2.0,11422.5,65.0,0.0,250.0,0.2,3.0
BL011,Metaldehyde,0.5,5.0,3.0,13402.5,74.0,0.0,250.0,0.0,1.0
BL011,Metaldehyde,0.5,5.0,4.0,23040.0,122.0,1.0,250.0,0.2,3.0
BL011,Metaldehyde,0.05,5.0,1.0,9702.5,53.0,0.0,250.0,-0.2,2.0
BL011,Metaldehyde,0.05,5.0,2.0,11022.5,58.0,0.0,255.0,0.0,2.0
BL011,Metaldehyde,0.05,5.0,3.0,15630.0,88.0,1.0,245.0,0.4,2.0
BL011,Metaldehyde,0.05,5.0,4.0,23737.5,109.0,1.0,245.0,0.8,3.0
BL011,Boric Acid,500.0,1.0,1.0,14961777.5,40477.0,952.0,90.0,198.0,975.0
BL011,Boric Acid,500.0,1.0,2.0,12006125.0,39340.0,1410.0,135.0,180.0,1410.0
BL011,Boric Acid,500.0,1.0,3.0,12109772.5,39216.0,1375.0,85.0,150.2,1375.0
BL011,Boric Acid,500.0,1.0,4.0,12888840.0,41546.0,1112.0,135.0,159.6,1172.0
BL011,Boric Acid,50.0,1.0,1.0,13706167.5,32606.0,870.0,145.0,164.0,870.0
BL011,Boric Acid,50.0,1.0,2.0,14888990.0,35224.0,899.0,145.0,185.0,899.0
BL011,Boric Acid,50.0,1.0,3.0,15776507.5,37075.0,841.0,155.0,235.0,841.0
BL011,Boric Acid,50.0,1.0,4.0,12096177.5,35789.0,1357.0,135.0,209.2,1393.0
BL011,Boric Acid,5.0,1.0,1.0,13277430.0,30731.0,1283.0,145.0,122.4,1283.0
BL011,Boric Acid,5.0,1.0,2.0,10834450.0,31246.0,1305.0,95.0,143.4,1305.0
BL011,Boric Acid,5.0,1.0,3.0,14559910.0,34774.0,1096.0,135.0,120.2,1096.0
BL011,Boric Acid,5.0,1.0,4.0,11967292.5,34517.0,1323.0,135.0,205.4,1323.0
BL011,Boric Acid,0.5,1.0,1.0,12952537.5,30255.0,1266.0,80.0,147.4,1266.0
BL011,Boric Acid,0.5,1.0,2.0,14602812.5,34830.0,999.0,150.0,196.6,999.0
BL011,Boric Acid,0.5,1.0,3.0,11483762.5,33297.0,1133.0,135.0,215.8,1170.0
BL011,Boric Acid,0.5,1.0,4.0,11784340.0,35163.0,815.0,135.0,160.8,815.0
BL011,Boric Acid,0.05,1.0,1.0,13649610.0,31776.0,1173.0,75.0,132.8,1173.0
BL011,Boric Acid,0.05,1.0,2.0,14443777.5,34454.0,824.0,135.0,171.4,824.0
BL011,Boric Acid,0.05,1.0,3.0,11866805.0,33659.0,1199.0,135.0,177.2,1199.0
BL011,Boric Acid,0.05,1.0,4.0,11635710.0,34403.0,956.0,135.0,134.2,964.0
BL011,Boric Acid,500.0,2.0,1.0,11548392.5,39459.0,1626.0,80.0,252.6,1626.0
BL011,Boric Acid,500.0,2.0,2.0,16250792.5,44069.0,931.0,115.0,270.8,982.0
BL011,Boric Acid,500.0,2.0,3.0,16239462.5,43510.0,931.0,115.0,259.4,1003.0
BL011,Boric Acid,500.0,2.0,4.0,11515555.0,38880.0,1633.0,70.0,253.0,1633.0
BL011,Boric Acid,50.0,2.0,1.0,12038870.0,31447.0,2898.0,125.0,178.2,3146.0
BL011,Boric Acid,50.0,2.0,2.0,10765140.0,32628.0,1428.0,125.0,216.4,1476.0
BL011,Boric Acid,50.0,2.0,3.0,15706155.0,38253.0,921.0,135.0,264.2,1028.0
BL011,Boric Acid,50.0,2.0,4.0,11397362.5,34328.0,974.0,130.0,253.0,976.0
BL011,Boric Acid,5.0,2.0,1.0,13489095.0,31425.0,1200.0,130.0,161.4,1200.0
BL011,Boric Acid,5.0,2.0,2.0,11188877.5,31869.0,1524.0,120.0,240.6,1524.0
BL011,Boric Acid,5.0,2.0,3.0,11045245.0,32568.0,1442.0,65.0,249.4,1486.0
BL011,Boric Acid,5.0,2.0,4.0,11591317.5,34514.0,1458.0,115.0,239.2,1487.0
BL011,Boric Acid,0.5,2.0,1.0,13316692.5,32015.0,972.0,135.0,114.4,972.0
BL011,Boric Acid,0.5,2.0,2.0,13831020.0,32382.0,1133.0,135.0,173.6,1133.0
BL011,Boric Acid,0.5,2.0,3.0,10513100.0,32311.0,1432.0,125.0,167.8,1432.0
BL011,Boric Acid,0.5,2.0,4.0,11808127.5,33706.0,1517.0,130.0,189.4,1517.0
BL011,Boric Acid,0.05,2.0,1.0,13728227.5,32879.0,1117.0,135.0,106.0,1117.0
BL011,Boric Acid,0.05,2.0,2.0,13558760.0,31799.0,1237.0,135.0,162.0,1237.0
BL011,Boric Acid,0.05,2.0,3.0,10806935.0,31217.0,1534.0,65.0,171.0,1542.0
BL011,Boric Acid,0.05,2.0,4.0,13841880.0,33322.0,3468.0,130.0,185.6,3470.0
BL011,Boric Acid,500.0,3.0,1.0,13578760.0,42383.0,1399.0,140.0,487.4,1399.0
