strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal
BL027,Propoxur,5.0,5.0,4.0,4246192.5,23326.0,233.0,50.0,363.2,489.0
BL027,Propoxur,0.5,5.0,1.0,2637.5,11.0,0.0,1105.0,0.2,1.0
BL027,Propoxur,0.5,5.0,2.0,2792.5,8.0,0.0,505.0,0.0,2.0
BL027,Propoxur,0.5,5.0,3.0,4980.0,28.0,0.0,0.0,-0.6,2.0
BL027,Propoxur,0.5,5.0,4.0,8246410.0,57101.0,479.0,35.0,710.8,6577.0
BL027,Propoxur,0.05,5.0,1.0,3477.5,12.0,0.0,50.0,-0.2,2.0
BL027,Propoxur,0.05,5.0,2.0,3717.5,14.0,0.0,65.0,-0.4,3.0
BL027,Propoxur,0.05,5.0,3.0,5447.5,36.0,0.0,0.0,-0.6,5.0
BL027,Propoxur,0.05,5.0,4.0,5784282.5,36343.0,383.0,45.0,607.2,2703.0
BL027,Diazinon,500.0,1.0,1.0,1570.0,4.0,0.0,10.0,-0.2,1.0
BL027,Diazinon,500.0,1.0,2.0,2925.0,46.0,0.0,0.0,-3.4,2.0
BL027,Diazinon,500.0,1.0,3.0,183322.5,692.0,5.0,0.0,-20.8,193.0
BL027,Diazinon,500.0,1.0,4.0,806665.0,3858.0,78.0,0.0,-18.0,130.0
BL027,Diazinon,50.0,1.0,1.0,1647.5,4.0,0.0,0.0,0.0,1.0
BL027,Diazinon,50.0,1.0,2.0,3655.0,57.0,0.0,0.0,-2.4,1.0
BL027,Diazinon,50.0,1.0,3.0,429730.0,1080.0,0.0,1205.0,-4.0,683.0
BL027,Diazinon,50.0,1.0,4.0,860612.5,3647.0,40.0,5.0,5.2,40.0
BL027,Diazinon,5.0,1.0,1.0,1647.5,4.0,0.0,0.0,-0.6,1.0
BL027,Diazinon,5.0,1.0,2.0,3692.5,67.0,0.0,0.0,-5.2,0.0
BL027,Diazinon,5.0,1.0,3.0,6040.0,124.0,0.0,0.0,-4.2,2.0
BL027,Diazinon,5.0,1.0,4.0,356147.5,4254.0,0.0,5.0,9.6,1.0
BL027,Diazinon,0.5,1.0,1.0,1560.0,10.0,0.0,985.0,-1.2,1.0
BL027,Diazinon,0.5,1.0,2.0,2762.5,43.0,0.0,0.0,-0.8,0.0
BL027,Diazinon,0.5,1.0,3.0,8837.5,210.0,0.0,0.0,-13.0,1.0
BL027,Diazinon,0.5,1.0,4.0,1545350.0,6838.0,1.0,305.0,3.4,3.0
BL027,Diazinon,0.05,1.0,1.0,2010.0,37.0,0.0,0.0,-4.2,1.0
BL027,Diazinon,0.05,1.0,2.0,14045.0,473.0,0.0,0.0,-27.8,1.0
BL027,Diazinon,0.05,1.0,3.0,11350.0,283.0,0.0,0.0,-15.8,1.0
BL027,Diazinon,0.05,1.0,4.0,450722.5,3896.0,1.0,5.0,43.8,2.0
BL027,Diazinon,500.0,2.0,1.0,2645.0,4.0,0.0,420.0,0.0,2.0
BL027,Diazinon,500.0,2.0,2.0,2857.5,5.0,0.0,430.0,-0.4,1.0
BL027,Diazinon,500.0,2.0,3.0,61727.5,208.0,1.0,1420.0,-0.4,208.0
BL027,Diazinon,500.0,2.0,4.0,615660.0,719.0,12.0,825.0,-1.8,419.0
BL027,Diazinon,50.0,2.0,1.0,2502.5,5.0,0.0,460.0,0.2,2.0
BL027,Diazinon,50.0,2.0,2.0,2712.5,16.0,0.0,805.0,-0.2,2.0
BL027,Diazinon,50.0,2.0,3.0,59765.0,135.0,1.0,1270.0,0.0,109.0
BL027,Diazinon,50.0,2.0,4.0,117675.0,230.0,4.0,770.0,-3.4,6.0
BL027,Diazinon,5.0,2.0,1.0,2435.0,6.0,0.0,1385.0,-0.4,1.0
BL027,Diazinon,5.0,2.0,2.0,2620.0,20.0,0.0,365.0,0.0,2.0
BL027,Diazinon,5.0,2.0,3.0,2752.5,8.0,1.0,0.0,-0.6,1.0
BL027,Diazinon,5.0,2.0,4.0,439847.5,2638.0,1.0,385.0,-3.8,3.0
BL027,Diazinon,0.5,2.0,1.0,2485.0,4.0,0.0,450.0,-0.2,2.0
BL027,Diazinon,0.5,2.0,2.0,2522.5,6.0,0.0,840.0,-0.2,2.0
BL027,Diazinon,0.5,2.0,3.0,2877.5,5.0,1.0,375.0,-0.2,2.0
BL027,Diazinon,0.5,2.0,4.0,799932.5,3215.0,29.0,430.0,-2.6,86.0
BL027,Diazinon,0.05,2.0,1.0,2627.5,4.0,1.0,150.0,-0.4,2.0
BL027,Diazinon,0.05,2.0,2.0,2917.5,6.0,0.0,375.0,0.0,2.0
BL027,Diazinon,0.05,2.0,3.0,3745.0,13.0,1.0,0.0,-0.4,3.0
BL027,Diazinon,0.05,2.0,4.0,985515.0,3748.0,29.0,435.0,-1.6,532.0
BL027,Diazinon,500.0,3.0,1.0,2247.5,4.0,0.0,570.0,-0.2,1.0
BL027,Diazinon,500.0,3.0,2.0,2422.5,15.0,0.0,230.0,-0.2,0.0
BL027,Diazinon,500.0,3.0,3.0,2812.5,46.0,0.0,1110.0,0.0,1.0
BL027,Diazinon,500.0,3.0,4.0,4917.5,23.0,0.0,5.0,0.2,3.0
BL027,Diazinon,50.0,3.0,1.0,2125.0,5.0,0.0,1270.0,0.0,0.0
BL027,Diazinon,50.0,3.0,2.0,2110.0,9.0,0.0,275.0,0.2,2.0
BL027,Diazinon,50.0,3.0,3.0,2292.5,6.0,0.0,535.0,-0.4,2.0
BL027,Diazinon,50.0,3.0,4.0,4850.0,27.0,1.0,0.0,-1.0,1.0
BL027,Diazinon,5.0,3.0,1.0,2087.5,5.0,0.0,1140.0,-0.2,1.0
BL027,Diazinon,5.0,3.0,2.0,2070.0,5.0,0.0,830.0,0.0,2.0
BL027,Diazinon,5.0,3.0,3.0,2127.5,7.0,0.0,1215.0,0.2,2.0
BL027,Diazinon,5.0,3.0,4.0,5885.0,32.0,0.0,70.0,-0.6,1.0
BL027,Diazinon,0.5,3.0,1.0,2222.5,5.0,0.0,5.0,0.2,1.0
BL027,Diazinon,0.5,3.0,2.0,2162.5,4.0,0.0,525.0,-0.2,2.0
BL027,Diazinon,0.5,3.0,3.0,2182.5,11.0,0.0,375.0,-0.2,2.0
BL027,Diazinon,0.5,3.0,4.0,13040.0,43.0,2.0,45.0,0.8,5.0
BL027,Diazinon,0.05,3.0,1.0,2207.5,4.0,0.0,555.0,0.0,1.0
BL027,Diazinon,0.05,3.0,2.0,2287.5,7.0,0.0,670.0,-0.4,2.0
BL027,Diazinon,0.05,3.0,3.0,2340.0,6.0,0.0,0.0,-0.8,2.0
BL027,Diazinon,0.05,3.0,4.0,4022.5,19.0,0.0,0.0,-1.4,2.0
BL027,Diazinon,500.0,4.0,1.0,2587.5,5.0,0.0,160.0,0.2,2.0
BL027,Diazinon,500.0,4.0,2.0,6422.5,25.0,1.0,1415.0,-0.8,19.0
BL027,Diazinon,500.0,4.0,3.0,616437.5,1019.0,1.0,1120.0,0.0,944.0
BL027,Diazinon,500.0,4.0,4.0,899835.0,1363.0,4.0,1425.0,1.2,1303.0
BL027,Diazinon,50.0,4.0,1.0,2452.5,4.0,0.0,310.0,0.0,1.0
BL027,Diazinon,50.0,4.0,2.0,2835.0,12.0,0.0,0.0,-1.4,2.0
BL027,Diazinon,50.0,4.0,3.0,279217.5,366.0,6.0,750.0,-4.6,261.0
BL027,Diazinon,50.0,4.0,4.0,301270.0,1510.0,1.0,265.0,6.8,2.0
BL027,Diazinon,5.0,4.0,1.0,2592.5,4.0,1.0,0.0,-0.2,1.0
BL027,Diazinon,5.0,4.0,2.0,2672.5,11.0,0.0,0.0,-0.4,2.0
BL027,Diazinon,5.0,4.0,3.0,7287.5,27.0,1.0,0.0,-1.6,6.0
BL027,Diazinon,5.0,4.0,4.0,591822.5,2781.0,1.0,350.0,2.6,5.0
BL027,Diazinon,0.5,4.0,1.0,2507.5,8.0,0.0,365.0,0.0,1.0
BL027,Diazinon,0.5,4.0,2.0,2742.5,26.0,0.0,0.0,-2.4,1.0
BL027,Diazinon,0.5,4.0,3.0,2920.0,10.0,0.0,5.0,0.2,3.0
BL027,Diazinon,0.5,4.0,4.0,1443417.5,4942.0,69.0,365.0,2.8,139.0
BL027,Diazinon,0.05,4.0,1.0,2652.5,5.0,0.0,240.0,0.2,1.0
BL027,Diazinon,0.05,4.0,2.0,2702.5,10.0,0.0,0.0,-0.8,1.0
BL027,Diazinon,0.05,4.0,3.0,3197.5,27.0,0.0,0.0,-2.8,2.0
BL027,Diazinon,0.05,4.0,4.0,3395.0,16.0,1.0,0.0,-1.8,2.0
BL027,Diazinon,500.0,5.0,1.0,2480.0,7.0,0.0,305.0,-0.6,2.0
BL027,Diazinon,500.0,5.0,2.0,2997.5,19.0,0.0,300.0,-0.8,2.0
BL027,Diazinon,500.0,5.0,3.0,820617.5,1710.0,10.0,1255.0,-4.0,1089.0
BL027,Diazinon,500.0,5.0,4.0,333142.5,489.0,29.0,1155.0,-5.4,204.0
BL027,Diazinon,50.0,5.0,1.0,2170.0,9.0,0.0,1255.0,-0.6,2.0
BL027,Diazinon,50.0,5.0,2.0,2727.5,17.0,0.0,1150.0,-1.6,1.0
BL027,Diazinon,50.0,5.0,3.0,51147.5,131.0,1.0,1305.0,-0.4,93.0
BL027,Diazinon,50.0,5.0,4.0,68657.5,304.0,9.0,0.0,-2.0,11.0
BL027,Diazinon,5.0,5.0,1.0,2165.0,8.0,0.0,490.0,-0.4,2.0
BL027,Diazinon,5.0,5.0,2.0,2470.0,32.0,0.0,255.0,-1.4,2.0
BL027,Diazinon,5.0,5.0,3.0,2700.0,20.0,0.0,0.0,-0.8,2.0
BL027,Diazinon,5.0,5.0,4.0,58695.0,364.0,1.0,0.0,-2.6,2.0
BL027,Diazinon,0.5,5.0,1.0,2207.5,6.0,0.0,635.0,0.0,1.0
BL027,Diazinon,0.5,5.0,2.0,2490.0,19.0,0.0,0.0,-2.2,1.0
BL027,Diazinon,0.5,5.0,3.0,4330.0,30.0,0.0,0.0,-0.6,2.0
BL027,Diazinon,0.5,5.0,4.0,1399802.5,5080.0,34.0,520.0,3.6,34.0
BL027,Diazinon,0.05,5.0,1.0,2370.0,6.0,0.0,880.0,-0.2,1.0
BL027,Diazinon,0.05,5.0,2.0,2620.0,12.0,0.0,0.0,-1.2,0.0
BL027,Diazinon,0.05,5.0,3.0,7682.5,54.0,0.0,0.0,-1.6,3.0
BL027,Diazinon,0.05,5.0,4.0,1496465.0,3329.0,64.0,570.0,-2.2,320.0
BL027,Trimethoprim,500.0,1.0,1.0,200125.0,564.0,0.0,1140.0,-1.4,149.0
BL027,Trimethoprim,500.0,1.0,2.0,245850.0,358.0,1.0,1205.0,-1.2,277.0
BL027,Trimethoprim,500.0,1.0,3.0,148067.5,444.0,40.0,0.0,-8.8,81.0
BL027,Trimethoprim,500.0,1.0,4.0,127516207.5,123372.0,9464.0,765.0,103.4,64589.0
BL027,Trimethoprim,50.0,1.0,1.0,3045.0,21.0,0.0,0.0,-2.0,11.0
BL027,Trimethoprim,50.0,1.0,2.0,9955.0,147.0,0.0,0.0,-7.6,1.0
BL027,Trimethoprim,50.0,1.0,3.0,561800.0,961.0,125.0,0.0,-32.2,499.0
BL027,Trimethoprim,50.0,1.0,4.0,3673082.5,13546.0,25.0,30.0,150.4,40.0
BL027,Trimethoprim,5.0,1.0,1.0,2360.0,33.0,0.0,0.0,-3.2,1.0
BL027,Trimethoprim,5.0,1.0,2.0,12680.0,260.0,0.0,0.0,-11.6,2.0
BL027,Trimethoprim,5.0,1.0,3.0,20825.0,358.0,0.0,0.0,-10.6,0.0
BL027,Trimethoprim,5.0,1.0,4.0,3273155.0,14064.0,31.0,20.0,267.6,34.0
BL027,Trimethoprim,0.5,1.0,1.0,3762.5,80.0,0.0,0.0,-6.6,1.0
BL027,Trimethoprim,0.5,1.0,2.0,6062.5,127.0,0.0,0.0,-5.4,0.0
BL027,Trimethoprim,0.5,1.0,3.0,17295.0,393.0,0.0,0.0,-21.6,1.0
BL027,Trimethoprim,0.5,1.0,4.0,3443410.0,14258.0,38.0,25.0,157.2,45.0
BL027,Trimethoprim,0.05,1.0,1.0,2450.0,12.0,0.0,0.0,-0.6,2.0
BL027,Trimethoprim,0.05,1.0,2.0,20200.0,593.0,0.0,0.0,-33.4,1.0
BL027,Trimethoprim,0.05,1.0,3.0,20627.5,438.0,0.0,0.0,-16.8,1.0
BL027,Trimethoprim,0.05,1.0,4.0,3212247.5,13870.0,30.0,20.0,237.0,33.0
BL027,Trimethoprim,500.0,2.0,1.0,294700.0,1155.0,2.0,1440.0,0.2,1155.0
BL027,Trimethoprim,500.0,2.0,2.0,2979375.0,9918.0,3.0,1440.0,-1.2,9918.0
BL027,Trimethoprim,500.0,2.0,3.0,120162.5,157.0,12.0,700.0,-1.0,69.0
BL027,Trimethoprim,500.0,2.0,4.0,77696860.0,80588.0,6006.0,605.0,2.2,27941.0
BL027,Trimethoprim,50.0,2.0,1.0,4460.0,7.0,1.0,905.0,0.2,2.0
BL027,Trimethoprim,50.0,2.0,2.0,5370.0,7.0,1.0,5.0,0.6,2.0
BL027,Trimethoprim,50.0,2.0,3.0,496862.5,506.0,104.0,610.0,-2.2,296.0
BL027,Trimethoprim,50.0,2.0,4.0,20442112.5,43382.0,3017.0,130.0,-5.4,3032.0
BL027,Trimethoprim,5.0,2.0,1.0,3465.0,6.0,0.0,0.0,-0.6,2.0
BL027,Trimethoprim,5.0,2.0,2.0,4742.5,16.0,1.0,215.0,-0.8,2.0
BL027,Trimethoprim,5.0,2.0,3.0,24475.0,38.0,7.0,0.0,-2.8,14.0
BL027,Trimethoprim,5.0,2.0,4.0,18753962.5,24053.0,767.0,635.0,-43.0,885.0
BL027,Trimethoprim,0.5,2.0,1.0,3845.0,6.0,1.0,65.0,0.0,3.0
BL027,Trimethoprim,0.5,2.0,2.0,4782.5,10.0,1.0,775.0,-0.4,2.0
BL027,Trimethoprim,0.5,2.0,3.0,1204775.0,1276.0,166.0,1065.0,-7.8,619.0
BL027,Trimethoprim,0.5,2.0,4.0,16184190.0,26402.0,2522.0,565.0,-23.4,2609.0
BL027,Trimethoprim,0.05,2.0,1.0,6382.5,12.0,1.0,100.0,-0.6,3.0
BL027,Trimethoprim,0.05,2.0,2.0,7885.0,26.0,2.0,135.0,-0.8,3.0
BL027,Trimethoprim,0.05,2.0,3.0,12340.0,19.0,2.0,0.0,-0.6,5.0
BL027,Trimethoprim,0.05,2.0,4.0,13983930.0,18123.0,732.0,945.0,-7.0,1091.0
BL027,Trimethoprim,500.0,3.0,1.0,8395.0,18.0,0.0,405.0,-0.2,2.0
BL027,Trimethoprim,500.0,3.0,2.0,9512.5,19.0,1.0,370.0,-1.2,5.0
BL027,Trimethoprim,500.0,3.0,3.0,11817.5,15.0,1.0,365.0,-0.4,6.0
BL027,Trimethoprim,500.0,3.0,4.0,20359745.0,21428.0,243.0,695.0,2.8,8935.0
BL027,Trimethoprim,50.0,3.0,1.0,2705.0,6.0,0.0,605.0,-0.2,2.0
BL027,Trimethoprim,50.0,3.0,2.0,3455.0,13.0,0.0,0.0,-1.8,1.0
BL027,Trimethoprim,50.0,3.0,3.0,7577.5,11.0,2.0,150.0,-0.4,3.0
BL027,Trimethoprim,50.0,3.0,4.0,21004205.0,34474.0,415.0,145.0,14.2,8811.0
BL027,Trimethoprim,5.0,3.0,1.0,2710.0,6.0,0.0,655.0,-0.2,3.0
BL027,Trimethoprim,5.0,3.0,2.0,3525.0,13.0,0.0,0.0,-0.6,3.0
BL027,Trimethoprim,5.0,3.0,3.0,7357.5,18.0,1.0,380.0,-2.0,6.0
BL027,Trimethoprim,5.0,3.0,4.0,17469492.5,26539.0,315.0,155.0,13.8,7124.0
BL027,Trimethoprim,0.5,3.0,1.0,2737.5,5.0,0.0,975.0,0.0,2.0
BL027,Trimethoprim,0.5,3.0,2.0,3847.5,6.0,0.0,705.0,0.0,2.0
BL027,Trimethoprim,0.5,3.0,3.0,8052.5,12.0,0.0,755.0,0.2,2.0
BL027,Trimethoprim,0.5,3.0,4.0,19891967.5,31421.0,372.0,145.0,10.8,8273.0
BL027,Trimethoprim,0.05,3.0,1.0,6835.0,10.0,1.0,1110.0,0.0,5.0
BL027,Trimethoprim,0.05,3.0,2.0,12400.0,26.0,1.0,755.0,-0.8,6.0
BL027,Trimethoprim,0.05,3.0,3.0,25767.5,42.0,1.0,750.0,-0.6,16.0
BL027,Trimethoprim,0.05,3.0,4.0,12377882.5,15764.0,189.0,395.0,2.0,5110.0
BL027,Trimethoprim,500.0,4.0,1.0,179585.0,783.0,2.0,1440.0,-0.2,783.0
BL027,Trimethoprim,500.0,4.0,2.0,1829507.5,6804.0,2.0,1440.0,0.2,6804.0
BL027,Trimethoprim,500.0,4.0,3.0,1688285.0,2536.0,24.0,1440.0,-3.0,2536.0
BL027,Trimethoprim,500.0,4.0,4.0,40022832.5,42261.0,363.0,1435.0,18.4,42246.0
BL027,Trimethoprim,50.0,4.0,1.0,14285.0,108.0,1.0,1440.0,0.6,108.0
BL027,Trimethoprim,50.0,4.0,2.0,155785.0,865.0,3.0,1440.0,-0.2,865.0
BL027,Trimethoprim,50.0,4.0,3.0,9817.5,24.0,2.0,10.0,0.0,6.0
BL027,Trimethoprim,50.0,4.0,4.0,7239492.5,13304.0,376.0,235.0,24.0,2553.0
BL027,Trimethoprim,5.0,4.0,1.0,20210.0,178.0,1.0,1435.0,-0.2,163.0
BL027,Trimethoprim,5.0,4.0,2.0,4257.5,16.0,0.0,0.0,-1.2,3.0
BL027,Trimethoprim,5.0,4.0,3.0,10967.5,28.0,2.0,5.0,0.4,7.0
BL027,Trimethoprim,5.0,4.0,4.0,5752.5,9.0,1.0,795.0,0.2,2.0
BL027,Trimethoprim,0.5,4.0,1.0,3570.0,14.0,0.0,1435.0,-0.6,2.0
BL027,Trimethoprim,0.5,4.0,2.0,4495.0,19.0,0.0,145.0,0.2,2.0
BL027,Trimethoprim,0.5,4.0,3.0,6275.0,19.0,1.0,0.0,-1.8,5.0
BL027,Trimethoprim,0.5,4.0,4.0,9031827.5,11558.0,415.0,1440.0,27.2,11558.0
BL027,Trimethoprim,0.05,4.0,1.0,4365.0,10.0,1.0,125.0,0.0,3.0
BL027,Trimethoprim,0.05,4.0,2.0,99205.0,155.0,24.0,225.0,-1.0,57.0
BL027,Trimethoprim,0.05,4.0,3.0,5780.0,9.0,1.0,650.0,-0.2,1.0
BL027,Trimethoprim,0.05,4.0,4.0,7402.5,18.0,2.0,0.0,-1.0,5.0
BL027,Trimethoprim,500.0,5.0,1.0,3646597.5,8512.0,3.0,1260.0,-0.6,7685.0
BL027,Trimethoprim,500.0,5.0,2.0,4166690.0,7987.0,6.0,1440.0,-0.2,7987.0
BL027,Trimethoprim,500.0,5.0,3.0,2277717.5,3194.0,52.0,1080.0,-4.4,3006.0
BL027,Trimethoprim,500.0,5.0,4.0,30457662.5,31225.0,3271.0,815.0,11.8,21950.0
BL027,Trimethoprim,50.0,5.0,1.0,274842.5,678.0,2.0,1245.0,-0.4,625.0
BL027,Trimethoprim,50.0,5.0,2.0,44332.5,98.0,2.0,0.0,-3.6,79.0
BL027,Trimethoprim,50.0,5.0,3.0,53967.5,172.0,5.0,0.0,-1.2,13.0
BL027,Trimethoprim,50.0,5.0,4.0,10136612.5,13582.0,1462.0,235.0,0.6,1488.0
BL027,Trimethoprim,5.0,5.0,1.0,125320.0,360.0,1.0,1260.0,-0.2,260.0
BL027,Trimethoprim,5.0,5.0,2.0,80522.5,155.0,3.0,1210.0,-3.0,67.0
BL027,Trimethoprim,5.0,5.0,3.0,22837.5,97.0,4.0,10.0,1.0,5.0
BL027,Trimethoprim,5.0,5.0,4.0,7095640.0,7293.0,1225.0,1175.0,52.8,5021.0
BL027,Trimethoprim,0.5,5.0,1.0,3570.0,6.0,0.0,210.0,0.0,1.0
BL027,Trimethoprim,0.5,5.0,2.0,6720.0,36.0,1.0,0.0,-1.8,10.0
BL027,Trimethoprim,0.5,5.0,3.0,818335.0,1333.0,205.0,135.0,-1.0,217.0
BL027,Trimethoprim,0.5,5.0,4.0,8053440.0,9635.0,1871.0,805.0,48.4,4294.0
BL027,Trimethoprim,0.05,5.0,1.0,6392.5,25.0,1.0,645.0,0.4,2.0
BL027,Trimethoprim,0.05,5.0,2.0,11525.0,44.0,1.0,0.0,-1.6,10.0
BL027,Trimethoprim,0.05,5.0,3.0,6653657.5,7414.0,888.0,1030.0,65.4,2442.0
BL027,Trimethoprim,0.05,5.0,4.0,6117790.0,6520.0,1409.0,1200.0,54.4,4142.0
BL029,Trimethoprim,50.0,1.0,1.0,9170.57125,97.2,0.0,235.0,-1.5755,2.0
BL029,Trimethoprim,50.0,1.0,2.0,22262.09375,235.2345,0.0,0.0,-13.184199999999999,3.0
BL029,Trimethoprim,50.0,1.0,3.0,211343.97875,1160.7465,15.0,0.0,-44.2838,25.0
BL029,Trimethoprim,5.0,1.0,1.0,3510.86875,11.7505,1.0,0.0,-1.1845,1.0
BL029,Trimethoprim,5.0,1.0,2.0,12424.805,193.249,1.0,0.0,-13.0879,2.0
BL029,Trimethoprim,5.0,1.0,3.0,656731.31,3361.243,57.0,0.0,-110.98000000000002,78.0
BL029,Trimethoprim,0.5,1.0,1.0,4149.8325,6.4655000000000005,0.0,225.0,-0.18629999999999997,4.0
BL029,Trimethoprim,0.5,1.0,2.0,5011.115,8.117,1.0,85.0,-0.28569999999999995,2.0
BL029,Trimethoprim,0.5,1.0,3.0,14894.08,129.761,2.0,0.0,-6.7841999999999985,4.0
BL029,Trimethoprim,0.05,1.0,1.0,10945.01875,15.8625,3.0,130.0,-0.28309999999999996,9.0
BL029,Trimethoprim,0.05,1.0,2.0,42276.125,647.784,2.0,0.0,-40.486000000000004,3.0
BL029,Trimethoprim,0.05,1.0,3.0,22182249.1775,40550.5645,6167.0,75.0,302.32130000000035,6167.0
BL029,Trimethoprim,0.005,1.0,1.0,1089.6475,8.415,1.488,235.0,0.04159999999999999,8.415
BL029,Trimethoprim,0.005,1.0,2.0,1114.885,8.617,1.551,235.0,0.023399999999999997,8.617
BL029,Trimethoprim,0.005,1.0,3.0,1119.445,8.81,1.572,235.0,0.023199999999999978,8.81
BL029,Metaldehyde,500.0,1.0,1.0,37495782.5,35796.0,12049.0,260.0,-10.8,32398.0
BL029,Metaldehyde,500.0,1.0,2.0,39190562.5,38094.0,11411.0,280.0,-52.0,33894.0
BL029,Metaldehyde,500.0,1.0,3.0,35325585.0,37227.0,12020.0,270.0,43.2,29398.0
BL029,Metaldehyde,500.0,1.0,4.0,32396825.0,35436.0,10954.0,265.0,-41.6,19858.0
BL029,Metaldehyde,50.0,1.0,1.0,37246280.0,34145.0,11027.0,1440.0,92.8,34145.0
BL029,Metaldehyde,50.0,1.0,2.0,35297330.0,36785.0,12448.0,245.0,43.6,36330.0
BL029,Metaldehyde,50.0,1.0,3.0,35697372.5,37396.0,12668.0,240.0,9.2,35971.0
BL029,Metaldehyde,50.0,1.0,4.0,41239837.5,46136.0,12482.0,255.0,27.0,32227.0
BL029,Metaldehyde,5.0,1.0,1.0,32729165.0,33750.0,11883.0,260.0,47.4,31411.0
BL029,Metaldehyde,5.0,1.0,2.0,35517680.0,39312.0,12416.0,240.0,59.2,36278.0
BL029,Metaldehyde,5.0,1.0,3.0,40017832.5,42900.0,12702.0,260.0,7.4,32715.0
BL029,Metaldehyde,5.0,1.0,4.0,42847180.0,49012.0,12326.0,260.0,29.8,32446.0
BL029,Metaldehyde,0.5,1.0,1.0,36803765.0,37805.0,11763.0,275.0,75.8,30965.0
BL029,Metaldehyde,0.5,1.0,2.0,37565905.0,38993.0,12065.0,270.0,70.8,31983.0
BL029,Metaldehyde,0.5,1.0,3.0,36708407.5,41945.0,12492.0,260.0,34.4,29021.0
BL029,Metaldehyde,0.5,1.0,4.0,38639790.0,47990.0,12732.0,255.0,2.6,28286.0
BL029,Metaldehyde,0.05,1.0,1.0,31535907.5,35017.0,11945.0,240.0,71.8,12300.0
BL029,Metaldehyde,0.05,1.0,2.0,35834530.0,39433.0,12332.0,265.0,36.4,29186.0
BL029,Metaldehyde,0.05,1.0,3.0,36474030.0,40840.0,12542.0,255.0,42.2,29078.0
BL029,Metaldehyde,0.05,1.0,4.0,35228492.5,41256.0,12677.0,250.0,22.4,27719.0
BL029,Metaldehyde,500.0,2.0,1.0,4855682.5,9742.0,401.0,1240.0,-17.6,6729.0
BL029,Metaldehyde,500.0,2.0,2.0,4351307.5,7694.0,427.0,1170.0,-4.6,5190.0
BL029,Metaldehyde,500.0,2.0,3.0,4469757.5,8044.0,446.0,1185.0,-12.2,5354.0
BL029,Metaldehyde,500.0,2.0,4.0,4442155.0,8319.0,470.0,1140.0,5.6,4794.0
BL029,Metaldehyde,50.0,2.0,1.0,4606870.0,8586.0,354.0,1150.0,-22.2,5243.0
BL029,Metaldehyde,50.0,2.0,2.0,5011365.0,9693.0,409.0,1125.0,-6.8,5225.0
BL029,Metaldehyde,50.0,2.0,3.0,5570827.5,10607.0,417.0,1145.0,-7.8,5799.0
BL029,Metaldehyde,50.0,2.0,4.0,5423685.0,9598.0,488.0,1420.0,10.0,9482.0
BL029,Metaldehyde,5.0,2.0,1.0,4297157.5,7686.0,338.0,1180.0,-22.4,5499.0
BL029,Metaldehyde,5.0,2.0,2.0,5042862.5,9310.0,388.0,1145.0,-9.4,5314.0
BL029,Metaldehyde,5.0,2.0,3.0,5410227.5,9849.0,407.0,1440.0,-1.0,9849.0
BL029,Metaldehyde,5.0,2.0,4.0,5069677.5,8489.0,461.0,1425.0,4.6,8474.0
BL029,Metaldehyde,0.5,2.0,1.0,4553092.5,8363.0,350.0,1145.0,-13.8,5406.0
BL029,Metaldehyde,0.5,2.0,2.0,5225765.0,9287.0,402.0,1440.0,-8.0,9287.0
BL029,Metaldehyde,0.5,2.0,3.0,4893420.0,7633.0,438.0,1390.0,1.2,7538.0
BL029,Metaldehyde,0.5,2.0,4.0,5341072.5,9156.0,461.0,1440.0,6.6,9156.0
BL029,Metaldehyde,0.05,2.0,1.0,6253837.5,14584.0,365.0,1440.0,-14.6,14584.0
BL029,Metaldehyde,0.05,2.0,2.0,5271665.0,9633.0,370.0,1435.0,-11.0,9597.0
BL029,Metaldehyde,0.05,2.0,3.0,5212535.0,9097.0,393.0,1440.0,-4.4,9097.0
BL029,Metaldehyde,0.05,2.0,4.0,4788360.0,7929.0,449.0,1440.0,0.6,7929.0
BL029,Metaldehyde,500.0,3.0,1.0,14038182.5,39636.0,351.0,1440.0,11.4,39636.0
BL029,Metaldehyde,500.0,3.0,2.0,5165337.5,6048.0,361.0,880.0,6.6,2436.0
BL029,Metaldehyde,500.0,3.0,3.0,5342735.0,6318.0,359.0,870.0,10.2,2475.0
BL029,Metaldehyde,500.0,3.0,4.0,5729180.0,7063.0,369.0,840.0,12.2,2253.0
BL029,Metaldehyde,50.0,3.0,1.0,5001955.0,5032.0,374.0,1000.0,16.6,4264.0
BL029,Metaldehyde,50.0,3.0,2.0,5274000.0,5355.0,399.0,980.0,10.6,4425.0
BL029,Metaldehyde,50.0,3.0,3.0,5401610.0,5557.0,403.0,945.0,7.4,4481.0
BL029,Metaldehyde,50.0,3.0,4.0,5698630.0,5543.0,397.0,1070.0,11.2,4919.0
BL029,Metaldehyde,5.0,3.0,1.0,4549497.5,4468.0,378.0,1100.0,16.8,4379.0
BL029,Metaldehyde,5.0,3.0,2.0,5176430.0,5107.0,387.0,1090.0,4.6,4745.0
BL029,Metaldehyde,5.0,3.0,3.0,5374857.5,5466.0,411.0,1005.0,2.6,4638.0
BL029,Metaldehyde,5.0,3.0,4.0,13109477.5,37579.0,395.0,1435.0,12.4,37426.0
