metric,mean,ci_lower,ci_upper,confidence,n_bootstrap
precision,0.6236126628860035,0.44805712024610206,0.8081970729093464,0.95,1000
recall,0.6208333333333335,0.43816666666666676,0.79,0.95,1000
f1,0.6202938603070937,0.4438174061471835,0.7930741830590152,0.95,1000
