chemical,precision,recall,f1,support
Boric Acid,0.975609756097561,1.0,0.9876543209876543,200
Metaldehyde,0.8809523809523809,0.74,0.8043478260869565,200
Propoxur,0.573394495412844,0.625,0.5980861244019139,200
Trimethoprim,0.5679611650485437,0.585,0.5763546798029556,200
DEET,0.4588744588744589,0.53,0.4918793503480278,200
Diazinon,0.28488372093023256,0.245,0.26344086021505375,200
