seed,accuracy,precision,recall,f1
1,0.8203017832647462,0.8194370512899476,0.821059431524548,0.8197633425748054
7,0.8299039780521262,0.8301724814539989,0.8305878552971576,0.8296777614530254
11,0.8120713305898491,0.810184238841662,0.8128229974160206,0.810586732670703
21,0.8175582990397805,0.8180980390001031,0.8179909560723514,0.813073951374887
42,0.8285322359396433,0.8282038328631623,0.8295865633074936,0.8262067754996498
101,0.831275720164609,0.831953124914859,0.8322674418604651,0.8306792803934321
123,0.8326474622770919,0.8310381568204211,0.8333656330749353,0.8312359392482903
202,0.850480109739369,0.8494399853296454,0.85093669250646,0.8492430413184694
555,0.813443072702332,0.8138714156270663,0.8142118863049097,0.8121542247328747
999,0.8340192043895748,0.8339314574314574,0.8349483204134366,0.8329140248359567
