strain,accuracy,macro_precision,macro_recall,macro_f1,number_of_samples,status,error
BL027,0.6116666666666666,0.6142351146170242,0.6116666666666666,0.5898075405450557,600,success,
BL011,0.6066666666666667,0.6144321935470026,0.6066666666666667,0.5818207889717033,600,success,
BL030,0.5990650406504064,0.5966441173374691,0.5990579710144928,0.5611131655323469,612,success,
BL029,0.5748455284552846,0.5276312595002149,0.5599275362318841,0.5115188969773661,583,success,
BL032,0.529810298102981,0.4560225738060157,0.4518921095008051,0.4352917905128497,630,success,
BL031,0.4066666666666666,0.4270414931841244,0.4066666666666666,0.3609782413946967,600,success,
BL29,,,,,20,failed,LOEO requires at least two experiments.
