removed_strain,accuracy,macro_precision,macro_recall,macro_f1,number_of_samples,status,error
BL032,0.5426843505246046,0.5725377791410343,0.5425117542895525,0.5338504642928967,3015,success,
BL031,0.5864903845726092,0.5433444247093238,0.5045093221722591,0.5039812748919404,3045,success,
BL011,0.5405246901672252,0.5168345716269704,0.4784132166596735,0.4761629685736535,3045,success,
BL29,0.5546496410329964,0.5029539116875943,0.4710900531301363,0.4688159480046112,3625,success,
BL030,0.548605159023365,0.49868696584559863,0.46694659854945625,0.4675303250933828,3033,success,
BL029,0.5418059167988231,0.4949970314897294,0.46106576465639476,0.4623002923532738,3062,success,
BL027,0.5306414474744046,0.48433652480235806,0.4483368155670943,0.4418432523370466,3045,success,
