strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL027,Boric Acid,0.5,4.0,2.0,1.4776256640784635,-0.9091744993870045,282.2,-284.2,-20.566666666666666,6738280.0,1076052.5,1845692.5
BL027,Boric Acid,0.5,4.0,3.0,1.4626562045916884,-0.9158190448513029,294.8,-259.8,-21.6425855513308,7167342.5,1061355.0,1807302.5
BL027,Boric Acid,0.5,4.0,4.0,1.4636282660332542,-0.914241884402217,330.4,-359.8,-21.174144486692015,7084037.5,1037192.5,1823897.5
BL027,Boric Acid,0.05,4.0,1.0,1.601799715834342,-0.9110666736831027,274.8,-372.4,-21.86235741444867,6746492.5,1057292.5,1773577.5
BL027,Boric Acid,0.05,4.0,2.0,1.4792783763467803,-0.9131545978451516,272.6,-274.2,-21.05,6937352.5,957115.0,1704427.5
BL027,Boric Acid,0.05,4.0,3.0,1.5098731658791344,-0.9138522755533449,367.2,-270.8,-21.767300380228136,7117107.5,1013565.0,1739795.0
BL027,Boric Acid,0.05,4.0,4.0,1.5647174447174448,-0.9115970515970516,292.6,-372.8,-22.84638783269962,7446910.0,1030545.0,1837392.5
BL027,Boric Acid,500.0,5.0,1.0,6.346510359869138,-0.8743184296619411,838.2,-391.0,-34.97011494252874,10971167.5,3060870.0,3911815.0
BL027,Boric Acid,500.0,5.0,2.0,6.116072594333464,-0.8284371327849589,808.4,-430.2,-34.88812260536398,11081925.0,3122182.5,4164470.0
BL027,Boric Acid,500.0,5.0,3.0,6.12961284474945,-0.813026026155639,777.4,-416.0,-35.16858237547893,11075462.5,3212467.5,4154127.5
BL027,Boric Acid,500.0,5.0,4.0,5.767901852779168,-0.5983975963945919,740.8,-417.4,-32.84750957854406,10900175.0,3172250.0,4325845.0
BL027,Boric Acid,50.0,5.0,1.0,5.906651276872024,-0.8534122060308758,620.0,-320.2,-30.59233716475096,9324920.0,2757562.5,3427690.0
BL027,Boric Acid,50.0,5.0,2.0,5.607949904710046,-0.8569289409202286,635.8,-304.2,-30.762452107279692,9478915.0,2812797.5,3495470.0
BL027,Boric Acid,50.0,5.0,3.0,5.431022359724371,-0.8145127267613557,589.2,-360.2,-28.583141762452108,8790967.5,1652485.0,1729072.5
BL027,Boric Acid,50.0,5.0,4.0,5.56809229037704,-0.80106921778278,596.2,-454.2,-29.244444444444444,8880625.0,1667502.5,1926352.5
BL027,Boric Acid,5.0,5.0,1.0,5.860978087360325,-0.8686692787694094,594.0,-336.8,-30.255172413793105,9358455.0,2890757.5,3213072.5
BL027,Boric Acid,5.0,5.0,2.0,5.660812139946607,-0.8568216945342139,651.6,-337.4,-30.091187739463603,9416805.0,2893972.5,3381817.5
BL027,Boric Acid,5.0,5.0,3.0,5.795473251028807,-0.8689986282578875,600.0,-351.8,-31.642911877394635,9825532.5,3121635.0,3498650.0
BL027,Boric Acid,5.0,5.0,4.0,5.465522016062033,-0.8267792855164774,585.0,-439.6,-29.288122605363984,8978375.0,1700622.5,1795990.0
BL027,Boric Acid,0.5,5.0,1.0,5.79766479456104,-0.7413538279633461,629.2,-324.2,-28.718007662835248,9162600.0,2700390.0,2255980.0
BL027,Boric Acid,0.5,5.0,2.0,5.770279971284997,-0.8347451543431443,613.8,-338.0,-29.914942528735633,9494940.0,3006235.0,3402185.0
BL027,Boric Acid,0.5,5.0,3.0,5.765503875968992,-0.7783776301218162,621.6,-382.4,-30.68888888888889,9760245.0,2883067.5,2194660.0
BL027,Boric Acid,0.5,5.0,4.0,5.733916909823537,-0.7654578296512435,584.4,-347.0,-30.328735632183907,9625790.0,2921130.0,2345917.5
BL027,Boric Acid,0.05,5.0,1.0,5.316898317483541,-0.8121433796634967,577.4,-391.6,-26.86360153256705,8191757.5,1574475.0,1660845.0
BL027,Boric Acid,0.05,5.0,2.0,5.416872368229998,-0.8234354581094816,609.8,-379.2,-27.655172413793103,8524517.5,1559837.5,1614787.5
BL027,Boric Acid,0.05,5.0,3.0,5.499711898588303,-0.8056755978104293,608.6,-414.8,-28.22222222222222,8589615.0,1634640.0,1788872.5
BL027,Boric Acid,0.05,5.0,4.0,5.550620891161432,-0.8317019722425127,587.4,-349.4,-28.23141762452107,8881665.0,2877040.0,3803372.5
BL027,DEET,500.0,1.0,1.0,2.0,-0.6666666666666666,0.8,-0.8,-0.07692307692307693,732.5,630.0,1402.5
BL027,DEET,500.0,1.0,2.0,1.0,-0.9,0.6,-0.6,-0.00625,842.5,737.5,1342.5
BL027,DEET,500.0,1.0,3.0,1.0,-0.6666666666666666,0.8,-1.0,-0.005555555555555556,997.5,770.0,1792.5
BL027,DEET,500.0,1.0,4.0,1.0879120879120878,-0.9835164835164835,4.0,-8.2,-0.13588850174216027,19462.5,1732.5,1367.5
BL027,DEET,50.0,1.0,1.0,1.0,-0.6666666666666666,0.6,-0.6,-0.002777777777777778,705.0,697.5,1332.5
BL027,DEET,50.0,1.0,2.0,2.5,0.0,0.8,-0.8,-0.0033149171270718232,725.0,665.0,1380.0
BL027,DEET,50.0,1.0,3.0,1.0,-0.7777777777777778,0.6,-1.2,-0.004861111111111111,790.0,627.5,1375.0
BL027,DEET,50.0,1.0,4.0,1.0,-0.9929078014184397,1.4,-6.0,-0.09722222222222222,6892.5,800.0,1312.5
BL027,DEET,5.0,1.0,1.0,1.0,-0.5,0.6,-0.6,-0.001388888888888889,690.0,617.5,1352.5
BL027,DEET,5.0,1.0,2.0,1.2,0.2,1.0,-0.8,0.0,712.5,682.5,1342.5
BL027,DEET,5.0,1.0,3.0,1.0,-0.9473684210526315,0.8,-1.4,-0.0125,920.0,657.5,1322.5
BL027,DEET,5.0,1.0,4.0,1.037037037037037,-0.9814814814814815,3.6,-5.4,-0.11498257839721254,24315.0,4425.0,1667.5
BL027,DEET,0.5,1.0,1.0,1.3333333333333333,-0.3333333333333333,0.4,-0.6,-0.0018018018018018018,707.5,655.0,1390.0
BL027,DEET,0.5,1.0,2.0,1.0,-0.8181818181818182,0.4,-0.8,-0.00625,777.5,647.5,1287.5
BL027,DEET,0.5,1.0,3.0,1.0,-0.8461538461538461,0.6,-1.2,-0.007638888888888889,755.0,677.5,1310.0
BL027,DEET,0.5,1.0,4.0,1.0480769230769231,-0.9615384615384616,2.2,-4.4,-0.07317073170731707,10890.0,3440.0,4690.0
BL027,DEET,0.05,1.0,1.0,1.0,-0.6,0.6,-0.8,-0.0020833333333333333,660.0,637.5,1370.0
BL027,DEET,0.05,1.0,2.0,1.0,-0.9333333333333333,0.6,-1.6,-0.009722222222222222,797.5,722.5,1305.0
BL027,DEET,0.05,1.0,3.0,1.0,-0.8571428571428571,0.6,-1.2,-0.008333333333333333,880.0,657.5,1337.5
BL027,DEET,0.05,1.0,4.0,1.0,-0.9333333333333333,0.6,-1.6,-0.019444444444444445,1890.0,772.5,1357.5
BL027,DEET,500.0,2.0,1.0,1.25,-0.5,0.6,-0.6,-0.002112676056338028,675.0,635.0,1270.0
BL027,DEET,500.0,2.0,2.0,1.25,-0.75,0.6,-0.8,-0.002973977695167286,665.0,627.5,1325.0
BL027,DEET,500.0,2.0,3.0,1.3333333333333333,-0.3333333333333333,0.6,-0.6,-0.0015094339622641509,700.0,635.0,1342.5
BL027,DEET,500.0,2.0,4.0,2.3333333333333335,-0.6666666666666666,0.6,-0.6,-0.004528301886792453,1132.5,812.5,1775.0
BL027,DEET,50.0,2.0,1.0,2.0,-0.6666666666666666,1.0,-0.8,-0.004310344827586207,640.0,625.0,1290.0
BL027,DEET,50.0,2.0,2.0,2.5,0.0,0.8,-0.6,-0.003092783505154639,640.0,605.0,1235.0
BL027,DEET,50.0,2.0,3.0,5.666666666666667,-0.6666666666666666,3.2,-2.8,-0.22857142857142856,745.0,675.0,1355.0
BL027,DEET,50.0,2.0,4.0,1.3333333333333333,-0.8333333333333334,1.0,-1.2,-0.006862745098039216,827.5,720.0,1405.0
BL027,DEET,5.0,2.0,1.0,1.3333333333333333,-0.6666666666666666,0.4,-0.6,-0.006122448979591836,667.5,607.5,1225.0
BL027,DEET,5.0,2.0,2.0,2.5,0.0,0.8,-0.8,-0.004918032786885246,730.0,640.0,1240.0
BL027,DEET,5.0,2.0,3.0,3.0,0.5,0.8,-0.6,-0.002255639097744361,680.0,600.0,1342.5
BL027,DEET,5.0,2.0,4.0,1.6666666666666667,-0.6666666666666666,0.8,-0.6,-0.002888086642599278,727.5,685.0,1317.5
BL027,DEET,0.5,2.0,1.0,1.3333333333333333,-0.3333333333333333,0.6,-0.8,-0.0014084507042253522,682.5,620.0,1255.0
BL027,DEET,0.5,2.0,2.0,1.3333333333333333,-0.3333333333333333,0.6,-0.6,-0.006060606060606061,682.5,635.0,1215.0
BL027,DEET,0.5,2.0,3.0,3.0,-0.5,0.8,-0.6,-0.016666666666666666,700.0,542.5,1265.0
BL027,DEET,0.5,2.0,4.0,2.5,-0.5,0.6,-0.8,-0.0030188679245283017,800.0,595.0,1332.5
BL027,DEET,0.05,2.0,1.0,4.5,-0.25,3.2,-3.4,-0.011320754716981131,760.0,595.0,1317.5
BL027,DEET,0.05,2.0,2.0,2.6666666666666665,-0.3333333333333333,1.4,-1.2,-0.005106382978723404,727.5,655.0,1310.0
BL027,DEET,0.05,2.0,3.0,2.5,0.0,0.8,-0.8,-0.007407407407407408,705.0,600.0,1320.0
BL027,DEET,0.05,2.0,4.0,10.0,-0.6666666666666666,5.8,-5.8,-0.10175438596491228,827.5,642.5,1495.0
BL027,DEET,500.0,3.0,1.0,1.6666666666666667,-0.6666666666666666,0.8,-0.8,-0.00808080808080808,587.5,615.0,1132.5
BL027,DEET,500.0,3.0,2.0,4.5,0.0,1.4,-1.6,-0.0056,737.5,652.5,1140.0
BL027,DEET,500.0,3.0,3.0,1.25,-0.75,0.8,-0.8,-0.0030651340996168583,852.5,582.5,1187.5
BL027,DEET,500.0,3.0,4.0,1.0,-0.7777777777777778,0.8,-0.8,-0.004861111111111111,1765.0,642.5,1285.0
BL027,DEET,50.0,3.0,1.0,2.0,0.5,0.6,-0.6,-0.0007042253521126761,597.5,562.5,1162.5
BL027,DEET,50.0,3.0,2.0,2.3333333333333335,-0.3333333333333333,1.0,-1.2,-0.004901960784313725,625.0,592.5,1175.0
BL027,DEET,50.0,3.0,3.0,3.0,-0.75,2.2,-2.2,-0.06470588235294118,812.5,627.5,1207.5
BL027,DEET,50.0,3.0,4.0,1.0,-0.6666666666666666,0.6,-0.8,-0.002777777777777778,962.5,602.5,1235.0
BL027,DEET,5.0,3.0,1.0,2.0,-0.6666666666666666,1.0,-0.6,-0.0047169811320754715,690.0,590.0,1135.0
BL027,DEET,5.0,3.0,2.0,2.75,-0.75,1.8,-2.0,-0.007434944237918215,642.5,590.0,1120.0
BL027,DEET,5.0,3.0,3.0,1.6666666666666667,-0.6666666666666666,0.6,-0.8,-0.003902439024390244,605.0,587.5,1267.5
BL027,DEET,5.0,3.0,4.0,2.0,-0.3333333333333333,0.6,-0.6,-0.0029304029304029304,762.5,640.0,1190.0
BL027,DEET,0.5,3.0,1.0,2.75,-0.5,2.0,-2.0,-0.024324324324324326,630.0,627.5,1202.5
BL027,DEET,0.5,3.0,2.0,2.3333333333333335,-0.6666666666666666,1.0,-1.0,-0.01875,577.5,562.5,1245.0
BL027,DEET,0.5,3.0,3.0,1.0,-0.75,0.6,-0.6,-0.0020833333333333333,572.5,582.5,1177.5
BL027,DEET,0.5,3.0,4.0,2.5714285714285716,-0.8571428571428571,3.2,-3.4,-0.023287671232876714,797.5,665.0,1197.5
BL027,DEET,0.05,3.0,1.0,1.3333333333333333,-0.3333333333333333,0.6,-0.6,-0.0015037593984962407,620.0,547.5,1160.0
BL027,DEET,0.05,3.0,2.0,2.0,-0.6666666666666666,1.0,-0.6,-0.016666666666666666,605.0,565.0,1280.0
BL027,DEET,0.05,3.0,3.0,1.3333333333333333,-0.6666666666666666,0.6,-0.6,-0.002181818181818182,662.5,557.5,1185.0
BL027,DEET,0.05,3.0,4.0,1.0,-0.6666666666666666,0.6,-0.6,-0.002777777777777778,1105.0,587.5,1247.5
BL027,DEET,500.0,4.0,1.0,1.3333333333333333,-0.6666666666666666,0.6,-0.6,-0.0024,587.5,557.5,985.0
BL027,DEET,500.0,4.0,2.0,2.2,-0.8,1.6,-1.8,-0.009950248756218905,637.5,642.5,985.0
BL027,DEET,500.0,4.0,3.0,1.0,-0.8,0.8,-0.6,-0.005555555555555556,830.0,565.0,1090.0
BL027,DEET,500.0,4.0,4.0,1.0,-0.976303317535545,1.2,-7.8,-0.14305555555555555,8900.0,840.0,2540.0
BL027,DEET,50.0,4.0,1.0,2.0,-0.6666666666666666,1.0,-1.0,-0.004651162790697674,530.0,547.5,962.5
BL027,DEET,50.0,4.0,2.0,7.0,0.0,1.2,-1.0,-0.005607476635514018,520.0,537.5,977.5
BL027,DEET,50.0,4.0,3.0,1.3333333333333333,-0.3333333333333333,0.6,-0.6,-0.0013937282229965157,630.0,510.0,1042.5
BL027,DEET,50.0,4.0,4.0,1.0,-0.989247311827957,1.0,-11.0,-0.19166666666666668,10445.0,552.5,1017.5
BL027,DEET,5.0,4.0,1.0,1.0,0.0,0.6,-0.6,0.0,537.5,527.5,900.0
BL027,DEET,5.0,4.0,2.0,1.0,-0.875,0.8,-0.6,-0.004861111111111111,577.5,465.0,950.0
BL027,DEET,5.0,4.0,3.0,1.0,-0.9166666666666666,0.8,-1.0,-0.007638888888888889,590.0,492.5,860.0
BL027,DEET,5.0,4.0,4.0,1.0,-0.973421926910299,1.8,-11.0,-0.20347222222222222,13957.5,982.5,3167.5
BL027,DEET,0.5,4.0,1.0,1.5,-0.5,0.8,-1.0,-0.004081632653061225,507.5,497.5,950.0
BL027,DEET,0.5,4.0,2.0,1.0,-0.9090909090909091,0.6,-1.4,-0.006944444444444444,557.5,497.5,930.0
BL027,DEET,0.5,4.0,3.0,1.0,-1.0,1.4,-1.4,-0.009722222222222222,652.5,442.5,925.0
BL027,DEET,0.5,4.0,4.0,1.0,-0.9833333333333333,0.8,-5.0,-0.12291666666666666,7350.0,587.5,1145.0
BL027,DEET,0.05,4.0,1.0,2.0,-0.3333333333333333,0.8,-1.2,-0.01568627450980392,535.0,525.0,962.5
BL027,DEET,0.05,4.0,2.0,1.0,-0.875,1.0,-1.0,-0.004861111111111111,625.0,507.5,935.0
BL027,DEET,0.05,4.0,3.0,1.5,0.0,0.6,-0.6,-0.0007042253521126761,575.0,497.5,1032.5
BL027,DEET,0.05,4.0,4.0,1.0,-0.9779411764705882,0.8,-7.8,-0.18472222222222223,12122.5,1112.5,3055.0
BL027,DEET,500.0,5.0,1.0,5.0,2.0,0.8,-1.2,-0.05,647.5,590.0,2147.5
BL027,DEET,500.0,5.0,2.0,1.75,-0.75,1.0,-1.0,-0.021052631578947368,692.5,617.5,1257.5
BL027,DEET,500.0,5.0,3.0,1.0,-0.75,0.6,-0.6,-0.0020833333333333333,692.5,560.0,1205.0
BL027,DEET,500.0,5.0,4.0,1.5,-0.6666666666666666,1.6,-1.4,-0.008284023668639054,1175.0,610.0,1260.0
BL027,DEET,50.0,5.0,1.0,7.0,2.0,1.6,-1.4,-0.025396825396825397,645.0,615.0,4290.0
BL027,DEET,50.0,5.0,2.0,9.666666666666666,-0.6666666666666666,5.4,-5.6,-0.02814070351758794,652.5,717.5,1255.0
BL027,DEET,50.0,5.0,3.0,4.5,-0.5,1.4,-1.4,-0.04,630.0,557.5,1290.0
BL027,DEET,50.0,5.0,4.0,6.0,-0.3333333333333333,3.4,-3.0,-0.4,735.0,655.0,1417.5
BL027,DEET,5.0,5.0,1.0,5.0,-0.5,1.4,-1.8,-0.007792207792207792,730.0,630.0,1202.5
BL027,DEET,5.0,5.0,2.0,3.5,0.0,1.0,-1.0,-0.004149377593360996,627.5,617.5,1190.0
BL027,DEET,5.0,5.0,3.0,1.6666666666666667,-0.3333333333333333,0.6,-0.8,-0.004838709677419355,605.0,550.0,1157.5
BL027,DEET,5.0,5.0,4.0,2.5,0.0,0.8,-0.8,-0.0021201413427561835,792.5,612.5,1165.0
BL027,DEET,0.5,5.0,1.0,2.0,0.5,0.6,-0.6,-0.0006968641114982578,577.5,615.0,1205.0
BL027,DEET,0.5,5.0,2.0,2.5,0.0,0.6,-0.8,-0.03529411764705882,595.0,617.5,1222.5
BL027,DEET,0.5,5.0,3.0,1.6666666666666667,-0.6666666666666666,0.6,-0.6,-0.004597701149425287,645.0,545.0,1250.0
BL027,DEET,0.5,5.0,4.0,4.0,-0.6666666666666666,2.2,-2.2,-0.01476510067114094,707.5,672.5,1200.0
BL027,DEET,0.05,5.0,1.0,2.0,0.0,0.6,-0.6,-0.0014184397163120568,590.0,575.0,1220.0
BL027,DEET,0.05,5.0,2.0,4.0,0.0,1.0,-1.0,-0.005970149253731343,592.5,657.5,1130.0
BL027,DEET,0.05,5.0,3.0,5.0,0.0,1.0,-0.8,-0.00522875816993464,670.0,525.0,1250.0
BL027,DEET,0.05,5.0,4.0,1.2,-1.0,1.0,-0.8,-0.004428044280442804,935.0,642.5,1270.0
BL027,Propoxur,500.0,1.0,1.0,2.0,-0.75,1.4,-1.4,-0.010727969348659003,2497.5,900.0,1525.0
BL027,Propoxur,500.0,1.0,2.0,1.0,-0.9910313901345291,1.2,-15.2,-0.15347222222222223,5175.0,1197.5,2925.0
BL027,Propoxur,500.0,1.0,3.0,1.0,-0.9942028985507246,2.4,-23.2,-0.23819444444444443,6897.5,1197.5,2337.5
BL027,Propoxur,500.0,1.0,4.0,2.2304860088365244,-0.6745213549337261,112.8,-71.0,-6.111023622047244,2036690.0,684782.5,1904502.5
BL027,Propoxur,50.0,1.0,1.0,1.0,-0.9854014598540146,1.6,-13.8,-0.09375,1907.5,750.0,1435.0
BL027,Propoxur,50.0,1.0,2.0,1.0,-0.9864864864864865,1.2,-15.4,-0.15208333333333332,3500.0,752.5,1665.0
BL027,Propoxur,50.0,1.0,3.0,1.0,-0.95,0.8,-3.6,-0.02638888888888889,1462.5,767.5,1660.0
BL027,Propoxur,50.0,1.0,4.0,1.9910202045397856,-0.8318782738837616,85.0,-79.2,-5.754330708661417,1785220.0,393435.0,939662.5
BL027,Propoxur,5.0,1.0,1.0,1.0,-0.9871794871794872,0.6,-14.6,-0.10694444444444444,1975.0,670.0,1340.0
BL027,Propoxur,5.0,1.0,2.0,1.0,-0.9900497512437811,0.6,-29.8,-0.2763888888888889,5630.0,865.0,1740.0
BL027,Propoxur,5.0,1.0,3.0,1.0,-0.9759036144578314,1.2,-8.8,-0.05625,1527.5,770.0,1515.0
BL027,Propoxur,5.0,1.0,4.0,1.0,-0.9286646367986081,17.4,-80.0,-1.4826388888888888,461202.5,128810.0,178825.0
BL027,Propoxur,0.5,1.0,1.0,1.0,-0.96875,0.6,-6.0,-0.043055555555555555,1160.0,702.5,1437.5
BL027,Propoxur,0.5,1.0,2.0,1.0,-0.975609756097561,0.6,-10.2,-0.08333333333333333,1872.5,722.5,1380.0
BL027,Propoxur,0.5,1.0,3.0,1.0,-0.9886363636363636,1.0,-9.4,-0.06041666666666667,1977.5,840.0,1680.0
BL027,Propoxur,0.5,1.0,4.0,2.6657931247109605,-0.7541236318791429,193.2,-185.0,-12.2640625,3402042.5,571715.0,1761057.5
BL027,Propoxur,0.05,1.0,1.0,1.0,-0.994535519125683,0.6,-17.2,-0.12638888888888888,2945.0,917.5,1712.5
BL027,Propoxur,0.05,1.0,2.0,1.0,-0.9845559845559846,1.0,-16.6,-0.17708333333333334,4462.5,1042.5,2047.5
BL027,Propoxur,0.05,1.0,3.0,1.0,-0.9964788732394366,2.4,-26.4,-0.19652777777777777,4357.5,1172.5,2387.5
BL027,Propoxur,0.05,1.0,4.0,1.0,-0.9595180722891566,10.8,-72.8,-1.382638888888889,278945.0,78035.0,89837.5
BL027,Propoxur,500.0,2.0,1.0,1.0,-0.8888888888888888,1.6,-1.4,-0.011111111111111112,2767.5,1382.5,3315.0
BL027,Propoxur,500.0,2.0,2.0,1.0,-0.9837837837837838,2.0,-13.4,-0.12638888888888888,5190.0,1377.5,3267.5
BL027,Propoxur,500.0,2.0,3.0,1.0,-0.9565217391304348,1.4,-4.2,-0.04583333333333333,4235.0,1362.5,3677.5
BL027,Propoxur,500.0,2.0,4.0,3.0388077147866746,-0.46721215663354765,669.0,-213.6,-15.648905109489052,5576192.5,951512.5,4095422.5
BL027,Propoxur,50.0,2.0,1.0,1.0,-0.8571428571428571,0.6,-1.6,-0.0125,1032.5,730.0,1497.5
BL027,Propoxur,50.0,2.0,2.0,1.0,-0.9333333333333333,1.0,-2.8,-0.019444444444444445,1192.5,752.5,1595.0
BL027,Propoxur,50.0,2.0,3.0,1.0,-0.9801980198019802,0.6,-4.6,-0.06875,2717.5,715.0,1730.0
BL027,Propoxur,50.0,2.0,4.0,1.9160876536611438,-0.8369855692143239,76.4,-48.0,-2.342857142857143,641492.5,172975.0,256742.5
BL027,Propoxur,5.0,2.0,1.0,1.0,-0.9622641509433962,0.8,-5.8,-0.035416666666666666,1107.5,675.0,1350.0
BL027,Propoxur,5.0,2.0,2.0,1.0,-0.9,0.8,-0.8,-0.00625,897.5,712.5,1412.5
BL027,Propoxur,5.0,2.0,3.0,1.0,-0.9629629629629629,0.8,-3.4,-0.03611111111111111,2352.5,817.5,1730.0
BL027,Propoxur,5.0,2.0,4.0,3.087104737275185,-0.7627835899847185,671.2,-208.2,-17.37921146953405,5127787.5,567985.0,1896610.0
BL027,Propoxur,0.5,2.0,1.0,1.0,-0.9710144927536232,0.6,-5.0,-0.04652777777777778,1422.5,720.0,1315.0
BL027,Propoxur,0.5,2.0,2.0,1.0,-0.7692307692307693,1.0,-2.2,-0.006944444444444444,885.0,675.0,1470.0
BL027,Propoxur,0.5,2.0,3.0,1.0,-0.9285714285714286,0.8,-2.8,-0.027083333333333334,2135.0,787.5,1655.0
BL027,Propoxur,0.5,2.0,4.0,2.9441514536849223,-0.764841108857336,579.8,-187.6,-14.360573476702509,4366902.5,585022.5,1743585.0
BL027,Propoxur,0.05,2.0,1.0,1.0,-0.9230769230769231,1.0,-1.0,-0.008333333333333333,1827.5,840.0,1652.5
BL027,Propoxur,0.05,2.0,2.0,1.0,-0.971830985915493,1.0,-10.4,-0.09583333333333334,3620.0,837.5,1697.5
BL027,Propoxur,0.05,2.0,3.0,1.0,-0.9917355371900827,1.4,-19.6,-0.16666666666666666,4910.0,942.5,2097.5
BL027,Propoxur,0.05,2.0,4.0,1.6421125781792911,-0.7178596247394023,46.2,-46.0,-1.397857142857143,406650.0,155035.0,299437.5
BL027,Propoxur,500.0,3.0,1.0,1.0,-0.98,1.6,-8.4,-0.06805555555555555,5567.5,957.5,1715.0
BL027,Propoxur,500.0,3.0,2.0,1.0,-0.9181286549707602,1.6,-7.0,-0.10902777777777778,11157.5,1830.0,6375.0
BL027,Propoxur,500.0,3.0,3.0,1.0,-0.9344262295081968,1.6,-3.2,-0.03958333333333333,6937.5,1742.5,3422.5
BL027,Propoxur,500.0,3.0,4.0,2.5342565597667637,-0.6033944189920867,646.8,-175.6,-14.716845878136201,5671007.5,1416850.0,2674250.0
BL027,Propoxur,50.0,3.0,1.0,1.0,-0.9807692307692307,0.8,-4.8,-0.035416666666666666,1532.5,710.0,1335.0
BL027,Propoxur,50.0,3.0,2.0,1.0,-0.9864864864864865,1.4,-9.2,-0.10138888888888889,3507.5,690.0,1267.5
BL027,Propoxur,50.0,3.0,3.0,1.0,-0.9947089947089947,0.8,-7.6,-0.13055555555555556,6145.0,1042.5,1672.5
BL027,Propoxur,50.0,3.0,4.0,2.382102272727273,-0.8787286931818182,394.0,-158.0,-9.127598566308244,3023757.5,865315.0,593050.0
BL027,Propoxur,5.0,3.0,1.0,1.0,-0.9772727272727273,1.4,-6.8,-0.059722222222222225,1577.5,650.0,1207.5
BL027,Propoxur,5.0,3.0,2.0,1.0,-0.9887640449438202,1.6,-10.0,-0.12222222222222222,4325.0,712.5,1507.5
BL027,Propoxur,5.0,3.0,3.0,1.0,-0.9487179487179487,0.8,-3.6,-0.025694444444444443,1390.0,700.0,1282.5
BL027,Propoxur,5.0,3.0,4.0,1.0205686630369026,-0.9491833030852994,26.0,-47.6,-1.1409252669039145,198582.5,49850.0,102665.0
BL027,Propoxur,0.5,3.0,1.0,1.0,-0.9727272727272728,0.8,-8.4,-0.07430555555555556,1900.0,680.0,1152.5
BL027,Propoxur,0.5,3.0,2.0,1.0,-0.9949494949494949,0.8,-23.4,-0.27361111111111114,7412.5,622.5,1485.0
BL027,Propoxur,0.5,3.0,3.0,1.0,-0.9666666666666667,0.8,-2.8,-0.02013888888888889,1462.5,752.5,1372.5
BL027,Propoxur,0.5,3.0,4.0,1.6114942528735632,-0.881992337164751,76.4,-75.6,-2.7842857142857143,793612.5,343027.5,318200.0
BL027,Propoxur,0.05,3.0,1.0,1.0,-0.968944099378882,1.2,-11.6,-0.10833333333333334,4815.0,930.0,1640.0
BL027,Propoxur,0.05,3.0,2.0,1.0,-0.9929577464788732,1.2,-22.8,-0.19583333333333333,6777.5,997.5,1755.0
BL027,Propoxur,0.05,3.0,3.0,1.0,-0.9591836734693877,1.0,-4.4,-0.03263888888888889,3980.0,922.5,1775.0
BL027,Propoxur,0.05,3.0,4.0,1.0,-0.9477413640389726,28.8,-105.6,-1.4861111111111112,248062.5,77670.0,133067.5
BL027,Propoxur,500.0,4.0,1.0,1.0,-0.9285714285714286,1.2,-1.4,-0.018055555555555554,3332.5,855.0,1392.5
BL027,Propoxur,500.0,4.0,2.0,1.0,-0.851063829787234,2.4,-15.8,-0.16666666666666666,11410.0,4227.5,19267.5
BL027,Propoxur,500.0,4.0,3.0,1.0,-0.875,1.6,-2.4,-0.024305555555555556,3855.0,1595.0,2807.5
BL027,Propoxur,500.0,4.0,4.0,1.0,-0.8917931422147274,35.8,-91.0,-2.203472222222222,780565.0,414890.0,387102.5
BL027,Propoxur,50.0,4.0,1.0,1.0,-0.9615384615384616,1.0,-2.8,-0.017361111111111112,1047.5,540.0,1010.0
BL027,Propoxur,50.0,4.0,2.0,1.0,-0.9885057471264368,1.2,-10.8,-0.11944444444444445,3880.0,752.5,1362.5
BL027,Propoxur,50.0,4.0,3.0,1.0,-0.9795918367346939,0.8,-3.4,-0.03333333333333333,1610.0,717.5,1302.5
BL027,Propoxur,50.0,4.0,4.0,1.360543179737565,-0.8921269453768691,119.6,-72.2,-5.885304659498208,2217257.5,726215.0,672715.0
BL027,Propoxur,5.0,4.0,1.0,1.0,-0.9571428571428572,1.6,-8.0,-0.09305555555555556,2477.5,610.0,3022.5
BL027,Propoxur,5.0,4.0,2.0,1.0,-0.8,0.6,-0.6,-0.002777777777777778,780.0,560.0,965.0
BL027,Propoxur,5.0,4.0,3.0,1.0,-0.99,2.8,-5.8,-0.06875,2440.0,752.5,1275.0
BL027,Propoxur,5.0,4.0,4.0,1.3701235596279329,-0.8967097042898792,132.6,-60.6,-6.494661921708185,2373755.0,724302.5,682470.0
BL027,Propoxur,0.5,4.0,1.0,1.0,-0.9636363636363636,1.4,-3.8,-0.03680555555555556,1210.0,570.0,1067.5
BL027,Propoxur,0.5,4.0,2.0,1.5,-0.5,1.0,-1.0,-0.0038461538461538464,875.0,587.5,1047.5
BL027,Propoxur,0.5,4.0,3.0,1.0,-0.9822485207100592,0.8,-9.4,-0.11527777777777778,3332.5,600.0,1167.5
BL027,Propoxur,0.5,4.0,4.0,1.0,-0.9372302863868184,11.4,-68.4,-1.6590277777777778,357565.0,201847.5,182685.0
BL027,Propoxur,0.05,4.0,1.0,1.0,-0.9375,1.4,-1.2,-0.010416666666666666,2285.0,752.5,1350.0
