strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL011,Metaldehyde,0.05,2.0,3.0,2.076923076923077,-0.8461538461538461,1.2,-2.4,-0.0199203187250996,4502.5,965.0,1815.0
BL011,Metaldehyde,0.05,2.0,4.0,2.238095238095238,-0.7619047619047619,1.8,-2.0,-0.03333333333333333,8745.0,1850.0,3895.0
BL011,Metaldehyde,500.0,3.0,1.0,10.5,-0.16666666666666666,4.8,-4.6,-0.046215139442231074,6770.0,965.0,2067.5
BL011,Metaldehyde,500.0,3.0,2.0,47.5,0.0,6.8,-7.0,-0.07322834645669292,9705.0,682.5,1297.5
BL011,Metaldehyde,500.0,3.0,3.0,19.0,-0.8,3.2,-3.0,-0.0746031746031746,9790.0,792.5,1382.5
BL011,Metaldehyde,500.0,3.0,4.0,32.5,-0.25,4.6,-3.8,-0.1007936507936508,13837.5,1097.5,1797.5
BL011,Metaldehyde,50.0,3.0,1.0,32.5,-0.5,2.6,-1.6,-0.05059288537549407,6865.0,710.0,1242.5
BL011,Metaldehyde,50.0,3.0,2.0,42.0,5.5,4.8,-3.2,-0.05590551181102362,8965.0,750.0,1372.5
BL011,Metaldehyde,50.0,3.0,3.0,28.666666666666668,-0.6666666666666666,3.4,-3.6,-0.06719367588932806,9835.0,840.0,1395.0
BL011,Metaldehyde,50.0,3.0,4.0,27.0,-0.5,4.8,-3.8,-0.08412698412698413,13642.5,1475.0,1882.5
BL011,Metaldehyde,5.0,3.0,1.0,35.0,-0.5,2.0,-2.4,-0.05476190476190476,7045.0,680.0,1292.5
BL011,Metaldehyde,5.0,3.0,2.0,31.666666666666668,-0.3333333333333333,3.6,-2.6,-0.07380952380952381,8932.5,740.0,1310.0
BL011,Metaldehyde,5.0,3.0,3.0,23.75,0.0,4.0,-3.0,-0.07165354330708662,10642.5,1070.0,2922.5
BL011,Metaldehyde,5.0,3.0,4.0,19.833333333333332,0.0,3.4,-5.2,-0.08968253968253968,15630.0,2295.0,3425.0
BL011,Metaldehyde,0.5,3.0,1.0,23.0,-0.3333333333333333,2.2,-2.6,-0.052964426877470355,7132.5,752.5,1207.5
BL011,Metaldehyde,0.5,3.0,2.0,46.0,0.5,2.6,-2.8,-0.0712,9610.0,807.5,1280.0
BL011,Metaldehyde,0.5,3.0,3.0,31.666666666666668,0.6666666666666666,3.8,-3.0,-0.07142857142857142,10880.0,1240.0,2170.0
BL011,Metaldehyde,0.5,3.0,4.0,17.833333333333332,-0.6666666666666666,2.8,-3.0,-0.08300395256916997,15985.0,2637.5,3557.5
BL011,Metaldehyde,0.05,3.0,1.0,34.0,0.0,2.6,-2.0,-0.05238095238095238,7280.0,767.5,1202.5
BL011,Metaldehyde,0.05,3.0,2.0,28.0,-0.3333333333333333,2.2,-5.0,-0.06586345381526104,8820.0,735.0,1332.5
BL011,Metaldehyde,0.05,3.0,3.0,24.0,-0.5,3.8,-3.2,-0.07372549019607844,10815.0,1212.5,2192.5
BL011,Metaldehyde,0.05,3.0,4.0,19.166666666666668,-0.16666666666666666,3.6,-3.0,-0.0873015873015873,16415.0,2480.0,3902.5
BL011,Metaldehyde,500.0,4.0,1.0,2.0,-0.5,0.8,-0.6,-0.0044444444444444444,482.5,442.5,897.5
BL011,Metaldehyde,500.0,4.0,2.0,5.0,-1.0,0.6,-0.6,-0.01818181818181818,492.5,422.5,922.5
BL011,Metaldehyde,500.0,4.0,3.0,5.0,0.0,1.6,-1.8,-0.005947955390334572,527.5,422.5,965.0
BL011,Metaldehyde,500.0,4.0,4.0,8.5,-0.5,5.4,-5.2,-0.023703703703703703,2435.0,752.5,1527.5
BL011,Metaldehyde,50.0,4.0,1.0,5.0,0.0,0.8,-1.0,-0.00404040404040404,425.0,442.5,847.5
BL011,Metaldehyde,50.0,4.0,2.0,5.0,1.0,0.8,-0.8,-0.002135231316725979,510.0,387.5,975.0
BL011,Metaldehyde,50.0,4.0,3.0,1.75,-1.0,1.2,-1.2,-0.008974358974358974,602.5,457.5,965.0
BL011,Metaldehyde,50.0,4.0,4.0,2.7777777777777777,-0.8888888888888888,4.4,-4.8,-0.22857142857142856,3020.0,907.5,1732.5
BL011,Metaldehyde,5.0,4.0,1.0,2.0,0.5,0.6,-0.6,-0.0017699115044247787,457.5,465.0,995.0
BL011,Metaldehyde,5.0,4.0,2.0,4.0,1.0,0.8,-0.6,-0.0024390243902439024,505.0,472.5,845.0
BL011,Metaldehyde,5.0,4.0,3.0,,,0.6,-0.6,-0.002238805970149254,702.5,505.0,960.0
BL011,Metaldehyde,5.0,4.0,4.0,1.7272727272727273,-0.8181818181818182,1.4,-1.2,-0.012927756653992395,3977.5,1292.5,2397.5
BL011,Metaldehyde,0.5,4.0,1.0,5.0,0.0,0.6,-1.0,-0.007142857142857143,467.5,442.5,985.0
BL011,Metaldehyde,0.5,4.0,2.0,3.0,1.0,0.6,-0.4,-0.0007326007326007326,522.5,425.0,1005.0
BL011,Metaldehyde,0.5,4.0,3.0,2.0,-0.6666666666666666,1.0,-1.0,-0.004016064257028112,835.0,497.5,1017.5
BL011,Metaldehyde,0.5,4.0,4.0,3.875,-0.5,5.6,-5.0,-0.030167597765363128,4937.5,1782.5,2880.0
BL011,Metaldehyde,0.05,4.0,1.0,5.0,-0.5,1.8,-1.6,-0.015789473684210527,497.5,442.5,997.5
BL011,Metaldehyde,0.05,4.0,2.0,2.3333333333333335,-0.3333333333333333,1.4,-1.0,-0.007575757575757576,437.5,437.5,952.5
BL011,Metaldehyde,0.05,4.0,3.0,1.5,-0.75,0.8,-0.8,-0.02702702702702703,857.5,560.0,1170.0
BL011,Metaldehyde,0.05,4.0,4.0,2.6666666666666665,-0.7777777777777778,2.2,-1.4,-0.017391304347826087,4692.5,1485.0,2845.0
BL011,Metaldehyde,500.0,5.0,1.0,27.5,0.0,2.4,-3.2,-0.04472573839662447,7232.5,822.5,1075.0
BL011,Metaldehyde,500.0,5.0,2.0,37.5,-0.5,2.2,-2.6,-0.06244725738396625,9595.0,880.0,1272.5
BL011,Metaldehyde,500.0,5.0,3.0,36.5,-0.5,3.2,-2.4,-0.060759493670886074,10280.0,782.5,1275.0
BL011,Metaldehyde,500.0,5.0,4.0,20.75,-0.5,2.6,-2.2,-0.0680672268907563,13700.0,1320.0,1730.0
BL011,Metaldehyde,50.0,5.0,1.0,50.0,1.0,2.2,-2.4,-0.04050632911392405,7300.0,745.0,1147.5
BL011,Metaldehyde,50.0,5.0,2.0,67.0,1.0,1.8,-2.2,-0.05439330543933055,9522.5,812.5,1177.5
BL011,Metaldehyde,50.0,5.0,3.0,75.0,1.0,3.2,-3.0,-0.06186440677966102,10292.5,900.0,1245.0
BL011,Metaldehyde,50.0,5.0,4.0,22.0,-0.5,2.6,-2.6,-0.07226890756302522,14130.0,1417.5,1872.5
BL011,Metaldehyde,5.0,5.0,1.0,18.666666666666668,-0.3333333333333333,2.2,-3.4,-0.04556962025316456,7667.5,877.5,1152.5
BL011,Metaldehyde,5.0,5.0,2.0,33.0,0.0,3.0,-2.8,-0.05333333333333334,9310.0,842.5,1197.5
BL011,Metaldehyde,5.0,5.0,3.0,23.333333333333332,-0.6666666666666666,2.6,-2.2,-0.05822784810126582,10430.0,982.5,1232.5
BL011,Metaldehyde,5.0,5.0,4.0,19.333333333333332,-0.6666666666666666,2.6,-3.8,-0.09539748953974896,16327.5,2575.0,3207.5
BL011,Metaldehyde,0.5,5.0,1.0,24.0,-0.5,2.2,-2.0,-0.03884297520661157,7105.0,802.5,1175.0
BL011,Metaldehyde,0.5,5.0,2.0,32.5,0.5,2.2,-3.0,-0.052100840336134456,9300.0,890.0,1232.5
BL011,Metaldehyde,0.5,5.0,3.0,37.0,-0.5,2.8,-4.2,-0.06134453781512605,10917.5,1062.5,1422.5
BL011,Metaldehyde,0.5,5.0,4.0,24.4,-0.4,4.2,-6.8,-0.1,17020.0,2600.0,3420.0
BL011,Metaldehyde,0.05,5.0,1.0,17.666666666666668,-0.3333333333333333,3.4,-2.6,-0.04285714285714286,7887.5,727.5,1087.5
BL011,Metaldehyde,0.05,5.0,2.0,19.333333333333332,-0.3333333333333333,2.0,-1.8,-0.04725738396624472,8992.5,802.5,1227.5
BL011,Metaldehyde,0.05,5.0,3.0,44.0,0.0,3.2,-3.4,-0.07196652719665272,12070.0,1447.5,2112.5
BL011,Metaldehyde,0.05,5.0,4.0,27.25,-0.25,3.0,-3.2,-0.0887029288702929,17150.0,2912.5,3675.0
BL011,Boric Acid,500.0,1.0,1.0,3.9957551826258637,-0.903751233958539,541.0,-547.2,-29.26074074074074,10361192.5,2042392.5,2558192.5
BL011,Boric Acid,500.0,1.0,2.0,4.0290864399836135,-0.8555919705038918,506.4,-399.0,-29.06513409961686,9327502.5,1100705.0,1577917.5
BL011,Boric Acid,500.0,1.0,3.0,3.734145876975814,-0.8690725576080747,575.0,-354.2,-27.926937269372694,9446470.0,1094042.5,1569260.0
BL011,Boric Acid,500.0,1.0,4.0,3.970374617737003,-0.8879969418960245,655.0,-372.2,-30.93793103448276,10043857.5,1396227.5,1448755.0
BL011,Boric Acid,50.0,1.0,1.0,3.463197026022305,-0.9075942644715879,394.8,-279.4,-24.506563706563707,8449930.0,1934335.0,3321902.5
BL011,Boric Acid,50.0,1.0,2.0,3.636964377903975,-0.907176045431079,478.4,-271.0,-26.505791505791507,9078062.5,2139425.0,3671502.5
BL011,Boric Acid,50.0,1.0,3.0,3.6934648336321976,-0.9162183701932656,462.2,-237.4,-28.197665369649805,9802227.5,2497247.5,3477032.5
