panel_name,strains,accuracy,macro_precision,macro_recall,macro_f1,sample_count,status,error
Panel_B,"BL027, BL011",0.6208333333333333,0.6302711674467584,0.6208333333333333,0.6020305567546271,1200,success,
Panel_C,"BL027, BL011, BL030",0.5938062442607898,0.6295952190653181,0.593968253968254,0.5915522914772746,1812,success,
Panel_A,BL027,0.6116666666666666,0.6142351146170242,0.6116666666666666,0.5898075405450557,600,success,
Panel_D,"BL027, BL011, BL030, BL029",0.5888279039816221,0.6381671574959235,0.5865631518321347,0.580259463559064,2395,success,
Panel_E,"BL027, BL011, BL030, BL029, BL032",0.5762502621901028,0.5298383053334945,0.49253497043913735,0.4904384829753396,3025,success,
Panel_F,"BL011, BL027, BL029, BL030, BL031, BL032, BL29",0.5492399573708281,0.497983294134051,0.4671203823749201,0.4640322623703798,3645,success,
